# Mwm name	Generation time
Luxembourg	2531.9994480000005
US_Oregon_West	2531.1008060000004
Netherlands_Drenthe	2529.172537
Germany_Hamburg_main	2524.9960539999997
South Africa_North West	2516.4454539999997
Sweden_Ostra Gotaland	2516.1804260000004
France_Alsace_Haut-Rhin	2513.567678
France_Rhone-Alpes_Haute-Savoie	2504.558262
India_Punjab	2492.8731199999997
South Africa_Mpumalanga	2492.061651
South Africa_KwaZulu-Natal	2486.755448
France_Free County_South	2477.793038
Sweden_Vastra Gotaland	2471.492699
Belgium_Limburg	2459.654719
Finland_Southern Finland_West	2459.169123
Brazil_Mato Grosso Do Sul	2414.22958
France_Burgundy_Cote-dOr	2400.5290949999994
Austria_Carinthia	2399.1684320000004
Sweden_Bergslagen	2389.497887
Belgium_Luxembourg	2388.8814170000005
Brazil_North Region_East	2386.0801560000004
Spain_Andalusia_Granada	2384.0726350000004
Russia_Bashkortostan	2377.8720489999996
Turkey_Black Sea Region	2368.1033770000004
Ukraine_Dnipropetrovsk Oblast	2348.426442
Slovakia_Region of Zilina	2345.436497
Czech_Jihovychod_Kraj Vysocina	2333.823123
Belarus_Minsk Region	2329.508234
France_Centre-Val de Loire_Loir-et-Cher	2325.2543299999998
US_Texas_Southwest	2306.231771
Tunisia	2300.7244630000005
Italy_Tuscany_Grosseto	2289.716075
Spain_Extremadura	2278.704273
US_New Jersey_North	2273.944044
US_Arizona_Flagstaff	2264.217439
South Korea_North	2255.7895750000002
Nepal_West	2253.695354
Austria_Salzburg	2252.59647
US_New Hampshire	2252.1476629999997
UK_England_South West England_Cornwall	2244.945738
Poland_Warmian-Masurian Voivodeship	2243.20599
Russia_Moscow Oblast_West	2222.670098
US_Kansas_West	2216.158791
France_Lorraine_Vosges	2214.6004639999996
Turkey_Central Anatolia Region_Ankara	2213.7546440000006
Ukraine_Donetsk Oblast	2183.696679
Turkey_Aegean Region	2177.193421
Netherlands_Zeeland	2174.61817
Philippines_Luzon_Manila	2171.974739
Mexico_East	2168.83849
Guinea	2164.143013
